Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2)
Initial_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,0.9,10.8,USD,Hosted Zones (1)
Initial_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,770.44,9245.28,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Instance type (a1.4xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,6837.76,82053.12,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (c5a.24xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,10314.488,123773.86,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Additional backup storage (5 TB)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,180.68,2168.16,USD,
Initial_Cost_Estimate,US East (N. Virginia),S3 Standard,0,118.66,1423.92,USD,S3 Standard storage (5 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),S3 Glacier,0,204.91,2458.92,USD,S3 Glacier storage (50 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),Data Transfer,0,8.91,106.92,USD," Inbound (from: Internet) 1 TB per month 
 Outbound (to: Internet) 100 GB per month 
"
Initial_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (4), Number of EIPs per instance (1)"
Initial_Cost_Estimate,US East (N. Virginia),AWS Key Management Service,0,70,840,USD,"Number of customer managed Customer Master Keys (CMK) (10), Number of symmetric requests (20000000)"
Initial_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,1233.7,14804.4,USD,Number of Application Load Balancers (4)
,,,,19815.148,237781.78,USD,Total
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
,,,,,,,
Below changes are made due to increased budget,,,,,,,
1) ELB is added to balance the load.,,,,,,,
2) Web Server EC2 instance count is increased to 4,,,,,,,
3) App Server EC2 instance count is increased to 4,,,,,,,
4) Better CPU is used for database. Also storage options for database is increased,,,,,,,
